np,time,ite,resi
1,2.387788,7,1.291831e-09
2,2.489353,9,7.335386e-09
4,1.320034,9,9.068037e-09
8,0.793223,10,3.804977e-09
16,0.467438,10,5.802666e-09

28,0.387363,11,3.940255e-09
32,0.576796,11,5.730222e-09
36,0.588706,11,9.069493e-09
40,0.602755,12,3.337130e-09
48,0.631235,12,7.142161e-09
56,0.748650,13,7.141261e-09
60,0.819037,14,4.290883e-09
64,0.805545,14,7.122587e-09
70,0.801117,14,8.079017e-09
72,0.831900,14,8.185860e-09
74,0.781525,14,8.055148e-09
78,0.770850,14,8.270368e-09
80,0.744794,14,8.431807e-09
82,0.876068,14,8.403871e-09
84,0.877866,14,8.708924e-09
