np,time,ite,resi
1,3.660524,6,2.221196e-09
2,4.874646,9,2.633057e-09
4,3.032600,8,7.318440e-09
6,2.184650,9,5.549607e-09
8,1.959198,8,8.454638e-09
12,1.616313,10,1.876959e-09
16,1.309669,9,5.071073e-09
20,1.294365,10,4.760525e-09
24,1.235561,11,2.988944e-09
28,1.133205,10,8.703923e-09
32,1.682413,11,4.588107e-09
36,1.708277,9,9.799041e-09
40,1.697579,10,2.493651e-09
48,1.677453,9,9.879064e-09
56,2.025960,10,2.532142e-09
60,2.117269,10,2.059104e-09
64,2.240013,10,2.191870e-09
70,2.263618,10,2.522514e-09
72,2.251412,10,2.183840e-09
74,2.154429,10,2.716362e-09
78,2.148632,10,2.004508e-09
80,2.095656,10,2.255202e-09
82,2.276131,10,2.248678e-09
84,2.201124,10,2.949484e-09
