np,time,ite,resi
1,3.964482,6,2.221196e-09
2,5.109464,9,2.633057e-09
4,3.231712,8,7.318440e-09
6,2.267082,9,5.549607e-09
8,2.023614,8,8.454638e-09
12,1.701681,10,1.876959e-09
16,1.402851,9,5.071073e-09
20,1.409764,10,4.760525e-09
24,2.255140,11,2.988944e-09
28,2.121866,10,8.703923e-09
32,2.110354,11,4.588107e-09
36,2.006001,9,9.799041e-09
40,1.968694,10,2.493651e-09
48,2.481872,9,9.879064e-09
56,2.921480,10,2.532142e-09
60,2.949417,10,2.059104e-09
64,2.826277,10,2.191870e-09
70,3.035477,10,2.522514e-09
72,3.000109,10,2.183840e-09
74,2.960805,10,2.716362e-09
78,2.924020,10,2.004508e-09
80,3.175782,10,2.255202e-09
82,3.238726,10,2.248678e-09
84,3.293862,10,2.949484e-09
90,3.267104,10,2.396339e-09
96,3.263408,10,2.956289e-09
100,3.293391,10,2.315381e-09
