np,time,ite,resi
1,3.705511,6,2.221196e-09
2,4.838896,9,2.633057e-09
4,3.066695,8,7.318440e-09
6,2.202299,9,5.549607e-09
8,1.953773,8,8.454638e-09
12,1.626880,10,1.876959e-09
16,1.318953,9,5.071073e-09
20,1.300217,10,4.760525e-09
24,1.242139,11,2.988944e-09
28,1.140464,10,8.703923e-09
32,1.616937,11,4.588107e-09
36,1.717177,9,9.799041e-09
40,1.699771,10,2.493651e-09
48,1.728226,9,9.879064e-09
56,1.891000,10,2.532142e-09
60,2.106533,10,2.059104e-09
64,2.204422,10,2.191870e-09
70,2.183301,10,2.522514e-09
72,2.187894,10,2.183840e-09
74,2.163297,10,2.716362e-09
78,2.140351,10,2.004508e-09
80,2.107678,10,2.255202e-09
82,2.150636,10,2.248678e-09
84,2.369674,10,2.949484e-09
88,2.344707,10,2.621581e-09
90,2.413192,10,2.396339e-09
94,2.433328,10,2.268032e-09
98,2.358593,10,2.712643e-09
100,2.410176,10,2.315381e-09
